Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Tarija,Chuquisaca,Beni,Pando,Bolivia
2020-05-07,2294.0,1159.0,3444.0,465.0,156.0,50.0,175.0,230.0,76.0,8049.0
2020-05-08,2399.0,1203.0,3532.0,472.0,170.0,60.0,176.0,230.0,79.0,8321.0
2020-05-09,2515.0,1244.0,3638.0,475.0,186.0,61.0,,239.0,,
2020-05-10,2578.0,1252.0,3889.0,492.0,215.0,61.0,228.0,244.0,,
2020-05-11,2657.0,1256.0,4346.0,505.0,,62.0,239.0,253.0,95.0,
2020-05-12,2757.0,1352.0,4504.0,519.0,228.0,81.0,239.0,322.0,95.0,10097.0
2020-05-13,2886.0,1402.0,4671.0,521.0,230.0,94.0,239.0,322.0,,
2020-05-14,2889.0,1492.0,4876.0,534.0,241.0,94.0,239.0,322.0,95.0,10782.0
2020-05-15,,1606.0,5048.0,559.0,,106.0,,322.0,95.0,
2020-05-16,3198.0,,5231.0,567.0,251.0,125.0,258.0,419.0,,
2020-05-17,3242.0,,5507.0,570.0,261.0,125.0,,419.0,,
2020-05-18,,1842.0,5601.0,570.0,,125.0,328.0,419.0,100.0,
2020-05-19,3350.0,1963.0,5908.0,589.0,,146.0,336.0,419.0,100.0,
2020-05-20,,2060.0,6171.0,593.0,270.0,157.0,,429.0,,
2020-05-21,3513.0,2161.0,6366.0,608.0,278.0,178.0,,493.0,100.0,
2020-05-22,3578.0,2213.0,6604.0,613.0,300.0,184.0,383.0,518.0,,
2020-05-23,,,7008.0,620.0,319.0,184.0,399.0,555.0,,
2020-05-24,3829.0,2469.0,7188.0,655.0,342.0,184.0,,567.0,104.0,
2020-05-25,3887.0,2515.0,7337.0,661.0,352.0,225.0,,627.0,,
2020-05-26,4000.0,2534.0,7515.0,677.0,361.0,225.0,405.0,666.0,108.0,16491.0
2020-05-27,4135.0,2776.0,7855.0,677.0,364.0,248.0,425.0,709.0,108.0,17297.0
2020-05-28,4194.0,2826.0,8113.0,692.0,405.0,271.0,430.0,760.0,,
2020-05-29,4256.0,2904.0,8291.0,697.0,407.0,321.0,438.0,769.0,146.0,18229.0
2020-05-30,4322.0,2945.0,8557.0,697.0,428.0,343.0,,786.0,,
2020-05-31,4395.0,3011.0,8697.0,716.0,428.0,343.0,,791.0,,
2020-06-01,4425.0,3063.0,9087.0,723.0,430.0,370.0,454.0,808.0,146.0,19506.0
2020-06-02,4633.0,3137.0,9398.0,726.0,469.0,377.0,464.0,841.0,146.0,20191.0
2020-06-03,4771.0,3254.0,9668.0,743.0,483.0,417.0,480.0,886.0,146.0,20848.0
2020-06-04,5036.0,3314.0,9940.0,762.0,611.0,445.0,488.0,959.0,146.0,21701.0
2020-06-05,,3441.0,10290.0,787.0,656.0,469.0,495.0,1005.0,146.0,
2020-06-06,5386.0,3538.0,10520.0,830.0,714.0,501.0,507.0,1022.0,154.0,23172.0
2020-06-07,5545.0,3573.0,10657.0,839.0,800.0,501.0,,1057.0,210.0,
2020-06-08,5649.0,3768.0,10789.0,843.0,811.0,530.0,521.0,1078.0,242.0,24231.0
2020-06-09,5753.0,3849.0,11105.0,891.0,875.0,553.0,529.0,1132.0,279.0,24966.0
2020-06-10,5892.0,3892.0,11484.0,929.0,896.0,610.0,539.0,1197.0,315.0,25754.0
2020-06-11,5892.0,3947.0,11849.0,1003.0,996.0,675.0,590.0,1231.0,393.0,26576.0
2020-06-12,6201.0,,12121.0,1048.0,998.0,690.0,622.0,1349.0,473.0,
2020-06-13,6371.0,4164.0,12251.0,1077.0,1086.0,730.0,666.0,1373.0,509.0,28227.0
2020-06-14,6552.0,4178.0,12576.0,1112.0,1178.0,730.0,675.0,1383.0,529.0,28913.0
2020-06-15,6796.0,4385.0,12730.0,1133.0,1239.0,742.0,703.0,1417.0,538.0,29683.0
2020-06-16,6931.0,4421.0,12924.0,1169.0,1286.0,760.0,756.0,1432.0,552.0,30231.0
2020-06-17,6931.0,4500.0,13049.0,1184.0,1330.0,805.0,772.0,1515.0,565.0,30651.0
2020-06-18,6931.0,4631.0,13165.0,1213.0,1382.0,864.0,824.0,1673.0,574.0,31257.0
2020-06-19,7518.0,4710.0,13495.0,1259.0,1462.0,987.0,875.0,1742.0,,
2020-06-20,7665.0,4760.0,13672.0,1297.0,1536.0,1069.0,955.0,1848.0,650.0,33452.0
2020-06-21,7930.0,4863.0,14066.0,1326.0,1542.0,1165.0,987.0,1869.0,653.0,34401.0
2020-06-22,8240.0,4894.0,14946.0,1383.0,1658.0,1213.0,1004.0,1965.0,659.0,35962.0
2020-06-23,8353.0,5186.0,15169.0,1403.0,1704.0,1248.0,1228.0,2036.0,663.0,36990.0
2020-06-24,,,15189.0,1411.0,1721.0,1322.0,,2141.0,663.0,
2020-06-25,8780.0,5236.0,15256.0,1432.0,1769.0,1365.0,1414.0,2180.0,663.0,38095.0
2020-06-26,8982.0,5415.0,15611.0,1475.0,1768.0,,1594.0,2197.0,705.0,
2020-06-27,9234.0,5523.0,15785.0,1481.0,1796.0,1537.0,1776.0,2254.0,710.0,40096.0
2020-06-28,9301.0,5666.0,15898.0,1514.0,1847.0,1553.0,1930.0,2293.0,710.0,40712.0
2020-06-29,9390.0,5707.0,15989.0,1515.0,1848.0,1600.0,2004.0,2384.0,710.0,41147.0
2020-06-30,9549.0,5818.0,16339.0,1560.0,1961.0,1690.0,2160.0,2460.0,710.0,42247.0
2020-07-01,9825.0,5934.0,16479.0,1581.0,2033.0,1790.0,,2551.0,714.0,
2020-07-02,10023.0,6009.0,16599.0,1639.0,2037.0,1888.0,2510.0,2600.0,734.0,44039.0
2020-07-03,10317.0,6114.0,16725.0,1663.0,2077.0,2014.0,2639.0,2664.0,755.0,44968.0
2020-07-04,10606.0,6160.0,16875.0,1712.0,2100.0,2129.0,2825.0,2668.0,812.0,45887.0
2020-07-05,11121.0,6192.0,17799.0,1719.0,2113.0,2197.0,2886.0,2668.0,886.0,47581.0
2020-07-06,11394.0,6386.0,17890.0,1725.0,2150.0,2231.0,2930.0,2694.0,909.0,48309.0
2020-07-07,11648.0,6439.0,,1749.0,2191.0,2290.0,3072.0,2798.0,920.0,
2020-07-08,11893.0,6511.0,18124.0,1771.0,2218.0,2382.0,3162.0,2863.0,920.0,49844.0
2020-07-09,12184.0,6581.0,18124.0,1806.0,2225.0,2511.0,3364.0,3031.0,920.0,50746.0
2020-07-10,12423.0,6696.0,18274.0,1861.0,2244.0,2611.0,3365.0,3096.0,920.0,51490.0
2020-07-11,12777.0,6764.0,18396.0,1898.0,2260.0,2691.0,3728.0,3120.0,920.0,52554.0
2020-07-12,,6877.0,18536.0,1951.0,2302.0,2691.0,3823.0,3139.0,924.0,
2020-07-13,13193.0,7040.0,18654.0,1987.0,2349.0,2716.0,3823.0,3160.0,924.0,53846.0
2020-07-14,13944.0,7176.0,18799.0,2019.0,2376.0,2756.0,4013.0,3181.0,924.0,55188.0
2020-07-15,13666.0,7449.0,18905.0,,2409.0,2879.0,4184.0,3259.0,924.0,
2020-07-16,14030.0,7659.0,19157.0,2103.0,2467.0,2971.0,4432.0,3313.0,924.0,57056.0
2020-07-17,14260.0,7762.0,19719.0,2168.0,2481.0,3067.0,4371.0,3325.0,924.0,58077.0
2020-07-18,14630.0,7914.0,19852.0,2226.0,2492.0,3228.0,4451.0,3330.0,939.0,59062.0
2020-07-19,15283.0,7999.0,19999.0,2249.0,2586.0,3264.0,4518.0,3337.0,947.0,60182.0
2020-07-20,15555.0,8128.0,20051.0,2300.0,2592.0,3321.0,4548.0,3352.0,949.0,60796.0
2020-07-21,15837.0,8244.0,20699.0,2380.0,2592.0,3338.0,4559.0,3380.0,949.0,61978.0
